Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
VFC,VF Corp,Common stocks,Large cap,Consumer Discretionary,"$17,574,823,438 ",4.34%,12.67,1.52,4.84,Analyze
VICI,VICI Properties Inc,REITs,Large cap,Real Estate,"$30,353,826,602 ",4.48%,30.91,19.56,1.98,Analyze
VLO,Valero Energy Corp,Common stocks,Large cap,Energy,"$42,792,990,182 ",3.68%,16.47,0.32,2.22,Analyze
VMC,Vulcan Materials,Common stocks,Large cap,Materials,"$19,733,725,258 ",1.03%,32.19,3.28,2.96,Analyze
VNO,Vornado Realty Trust,REITs,Mid cap,Real Estate,"$5,650,680,650 ",7.05%,36.97,3.42,0.89,Analyze
VRSK,Verisk Analytics Inc,Common stocks,Large cap,Industrials,"$27,487,578,767 ",0.69%,27.5,9.02,10.38,Analyze
VRSN,Verisign Inc,Common stocks,Large cap,Information Technology,"$19,107,898,766 ",0.00%,24.24,14.15,-14.94,Analyze
VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$74,171,786,250 ",0.00%,30.13,9.33,6.77,Analyze
VTR,"Ventas, Inc",REITs,Large cap,Real Estate,"$20,528,361,240 ",3.46%,138.56,5.22,1.88,Analyze
VTRS,Viatris Inc.,Common stocks,Large cap,Health Care,"$12,390,212,227 ",4.44%,72.15,0.7,0.59,Analyze
VZ,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"$213,257,907,137 ",6.16%,9.91,1.59,2.53,Analyze
WAB,Westinghouse Air Brake Technologies,Common stocks,Large cap,Industrials,"$15,000,851,987 ",0.66%,24.83,1.89,1.47,Analyze
WAT,Waters Corp,Common stocks,Large cap,Health Care,"$20,564,946,747 ",0.00%,28.76,7.17,54.05,Analyze
WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$32,815,825,038 ",4.95%,5.12,0.24,1.21,Analyze
WBD,"Warner Bros. Discovery, Inc. - Series A",Common stocks,Large cap,Communication Services,"$33,854,479,450 ",0.00%,27.69,2.7,2.88,Analyze
WDC,Western Digital Corp,Common stocks,Large cap,Information Technology,"$14,415,114,663 ",0.00%,7.96,0.75,1.21,Analyze
WEC,WEC Energy Group Inc,Common stocks,Large cap,Utilities,"$31,688,552,984 ",2.77%,23.29,3.71,2.8,Analyze
WELL,Welltower Inc,REITs,Large cap,Real Estate,"$37,425,103,289 ",0.74%,113.88,7.4,2.08,Analyze
WFC,Wells Fargo,Common stocks,Large cap,Financials,"$150,097,948,823 ",2.26%,7.68,1.94,0.83,Analyze
WHR,Whirlpool Corp,Common stocks,Mid cap,Consumer Discretionary,"$9,234,610,100 ",3.79%,5.52,0.43,2.01,Analyze
WM,Waste Management Inc,Common stocks,Large cap,Industrials,"$62,708,716,986 ",1.61%,32.74,3.39,8.74,Analyze
WMB,Williams Inc,Common stocks,Large cap,Energy,"$37,697,459,051 ",5.30%,25.84,3.45,3.35,Analyze
WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$342,835,636,754 ",1.77%,26.44,0.6,4.47,Analyze
WRB,WR Berkley Corp,Common stocks,Large cap,Financials,"$17,497,461,324 ",0.54%,12.58,1.71,2.54,Analyze
WRK,Westrock,Common stocks,Large cap,Materials,"$10,321,504,704 ",2.43%,12.63,0.51,0.87,Analyze
WST,West Pharmaceutical Services Inc,Common stocks,Large cap,Health Care,"$21,983,420,857 ",0.24%,32.47,7.63,9.55,Analyze
WTW,Willis Towers Watson Public Limited Company,Common stocks,Large cap,Financials,"$21,945,344,965 ",1.64%,4.99,2.41,1.96,Analyze
WY,Weyerhaeuser Company,REITs,Large cap,Real Estate,"$25,767,075,780 ",1.97%,9.61,2.38,2.53,Analyze
WYNN,Wynn Resorts Ltd,Common stocks,Mid cap,Consumer Discretionary,"$6,346,761,714 ",0.00%,-9.6,1.59,-18.75,Analyze
XEL,Xcel Energy Inc,Common stocks,Large cap,Utilities,"$37,853,403,238 ",2.69%,23.34,2.78,2.4,Analyze
XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$355,959,903,442 ",4.09%,13.86,1.16,2.11,Analyze
XRAY,Dentsply Sirona Inc,Common stocks,Mid cap,Health Care,"$7,502,023,180 ",1.34%,20.24,1.79,1.52,Analyze
XYL,Xylem Inc,Common stocks,Large cap,Industrials,"$13,827,518,427 ",1.50%,32.45,2.65,4.28,Analyze
YUM,Yum Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$33,030,523,996 ",1.84%,20.25,4.97,-3.93,Analyze
ZBH,Zimmer Biomet Holdings Inc,Common stocks,Large cap,Health Care,"$21,592,754,061 ",0.93%,53.46,2.82,1.79,Analyze
ZBRA,Zebra Technologies Corp,Common stocks,Large cap,Information Technology,"$15,355,568,153 ",0.00%,18.87,2.69,5.29,Analyze
ZION,Zions Bancorporation,Common stocks,Mid cap,Financials,"$7,598,209,150 ",3.03%,7.65,2.75,1.19,Analyze
ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"$81,799,966,526 ",0.66%,38.1,10.37,16.96,Analyze
